,address_full,lat,lon,bike_score,transit_score,walk_score
433,1714 Bevis St Houston 77008,29.8066926,-95.4224409,66,38,67
434,1714 Roy St Houston 77007,29.779182,-95.412661,58,36,76
435,1715 Maud St Houston 77007,29.77859,-95.375471,73,55,61
436,1716 Dart St Houston 77007,29.7687241,-95.3653592,81,86,46
437,1717 Althea Dr Houston 77018,29.825827,-95.43708,64,40,54
438,1720 Mcdonald St Houston 77007,,,,,
439,1722 De Milo Dr Houston 77018,29.834672,-95.446087,48,36,35
440,1725 Libbey Dr Houston 77018,29.830894,-95.447798,49,34,43
441,1726 Stonecrest Dr Houston 77018,29.8151364,-95.4295705,67,39,63
442,1727 Ennis Street Houston 77003,29.751029,-95.343851,81,72,73
443,1729 Ennis Street Houston 77003,29.751029,-95.343851,81,72,73
444,1737 Hollister St Houston 77055,29.809881,-95.5065235,48,36,55
445,1738 W 23 Houston 77008,,,,,
446,1747 Ennis Street Houston 77003,29.751029,-95.343851,81,72,73
447,1749 Beall St Houston 77008,29.802714,-95.418027,55,41,60
448,1749 Ennis Street Houston 77003,29.751029,-95.343851,81,72,73
449,1751 Ennis Street Houston 77003,29.751029,-95.343851,81,72,73
450,1766 De Milo Dr Houston 77018,29.834672,-95.446087,48,36,35
451,1801 W 14th 1/2 St Houston 77008,,,,,
452,1802 Seamist Ct Houston 77008,29.805346,-95.438122,59,37,55
453,1804 Goliad St Houston 77007,29.769335,-95.370579,75,80,62
454,1804 Tuam St Houston 77004,29.738818,-95.3677747,72,77,80
455,1806 Decatur St Houston 77007,29.7669608,-95.37827,75,56,75
456,1806 Nina Lee Ln Houston 77018,29.831717,-95.447823,51,33,44
457,1806 Rosalie St Houston 77004,29.740677,-95.37398,82,82,88
458,1807 Hadley St Houston 77003,29.739513,-95.359752,57,68,67
459,1807 Stacy Crest Houston 77008,29.8048362,-95.4320258,72,34,65
460,1808  W 25 Houston 77008,,,,,
461,1808 W 25th Houston 77008,29.808826,-95.414769,58,42,55
462,1808 W 25th Houston 77008,29.808826,-95.414769,58,42,55
463,1809 Dart St Houston 77007,29.7687241,-95.3653592,81,86,46
464,1809 W 15th St Houston 77008,29.797924,-95.407632,68,43,62
465,1811 Goliad Houston 77007,29.769335,-95.370579,75,80,62
466,1811 Hewitt Dr Houston 77018,29.830128,-95.444715,43,35,41
467,1811 Johnson Houston 77007,29.7773124,-95.3736328,67,61,59
468,1811 Nauts Ct Houston 77008,29.803903,-95.437476,58,37,58
469,1812 Rosedale St  B Houston 77004,,,,,
470,1813 A Elysian Houston 77009,29.775539,-95.350514,64,64,48
471,1814 Nauts Ct Houston 77008,29.803903,-95.437476,58,37,58
472,1815 Ashland St Houston 77008,29.796141,-95.403483,71,43,72
473,1815 Ashland Houston 77008,29.796141,-95.403483,71,43,72
474,1818 Dart St Houston 77007,29.7687241,-95.3653592,81,86,46
475,1818 Dart St Houston 77007,29.7687241,-95.3653592,81,86,46
476,1818 Locksford St Houston 77008,29.8016451,-95.4460571,47,44,56
477,1818 Seaspray Ct Houston 77008,29.793815,-95.435824,48,39,36
478,1819 Gardenia Dr Houston 77018,29.827032,-95.424159,62,43,55
479,1819 Millwood Dr Houston 77008,29.804694,-95.440071,55,38,51
480,1819 W 24th St Houston 77008,29.807757,-95.418138,58,41,54
481,1823 Stacy Crs Houston 77008,,,,,
482,1825 Keene St Houston 77009,29.7787307,-95.3638272,70,69,71
483,1827 De Milo Dr Houston 77018,29.834672,-95.446087,48,36,35
484,1828 Lewis St Houston 77009,29.774679,-95.362405,68,76,64
485,1830 Wheeler St Houston 77004,29.7170809,-95.344831,70,62,51
486,1831 Hadley St Houston 77003,29.739513,-95.359752,57,68,67
487,1834 Latexo Dr Houston 77018,29.836345,-95.445377,43,37,32
488,1834 Mill Creek Dr Houston 77008,29.802901,-95.443515,45,41,44
489,1838 Chantilly Ln Houston 77018,29.828882,-95.44152,43,37,45
490,1838 Chantilly Ln Houston 77018,29.828882,-95.44152,43,37,45
491,1841 Radcliffe St Houston 77007,29.7798187,-95.4201141,54,42,58
492,1847 Stacy Crs Houston 77008,,,,,
493,1857 Dart St Houston 77007,29.7687241,-95.3653592,81,86,46
