,address_full,lat,lon,bike_score,transit_score,walk_score
1674,6203 Cindy Ln Houston 77008,29.7955394,-95.429919,,,
1676,6214 Brown Bark Dr Houston 77092,29.841606,-95.483082,,,
1680,6227 Haskell St Houston 77007,29.7712957,-95.4285535,,,
1681,623 Patterson St Houston 77007,29.7769985,-95.4062857,,,
1685,626 W 27th St Houston 77008,29.8104344,-95.4262748,,,
1695,640 Columbia St Houston 77007,29.816059,-95.39355,,,
1711,6529 Westview Houston 77055,29.7928658,-95.5236014,,,
1718,6610 Eureka St Houston 77008,29.784337,-95.432503,,,
1720,6614 Eureka St Houston 77008,29.784337,-95.432503,,,
1721,6625 Letein St Houston 77008,29.785033,-95.432516,,,
1722,6626 Maybank Dr Houston 77055,29.8012151,-95.4649894,,,
1726,6702 Malibu Houston 77092,29.835334,-95.490495,,,
1729,6707 Avenue C Houston 77011,29.734916,-95.29557,,,
1734,6759 Cindy Houston 77008,29.7955394,-95.429919,,,
1736,6807 Schiller St Houston 77055,29.798553,-95.470787,,,
1742,702 Paschall St Houston 77009,29.779567,-95.35962,,,
1744,703 W Sleepyvale Ln Houston 77018,29.8292001,-95.412502,,,
1756,706 W 42nd St Houston 77018,29.8252981,-95.4202245,,,
1757,707 Archer St Houston 77009,29.7971341,-95.3738203,,,
1767,711 Detering St Houston 77007,29.780593,-95.415933,,,
1768,711 E. Whitney St Houston 77022,29.830593,-95.392865,,,
1770,711 Worthshire St Houston 77008,29.789527,-95.415253,,,
1776,713C Nicholson Houston 77007,29.7924186,-95.4055829,,,
1777,713D Nicholson Houston 77007,29.7924186,-95.4055829,,,
1795,7222 Northampton W Houston 77055,29.787359,-95.472346,,,
1796,7233 Victoria Houston 77020,29.782899,-95.305261,,,
1801,725 Worthshire St Houston 77008,29.789527,-95.415253,,,
1803,726 W 28th St Houston 77008,29.811999,-95.4060585,,,
1807,728 W 28th St Houston 77008,29.811999,-95.4060585,,,
1811,730 West 25th Houston 77008,29.808826,-95.414769,,,
1825,744 Harvard St Houston 77007,29.7759758,-95.396178,,,
1842,7720 Hammerly Blv Houston 77055,29.8106421,-95.4897352,,,
1843,7806 C Janak Dr Houston 77055,29.7993889,-95.4807349,,,
1859,806 Kelley St Houston 77009,29.8131,-95.365431,,,
1868,811 Herkimer St Houston 77007,29.7924109,-95.4061909,,,
1869,811 Milwaukee St Houston 77009,29.809364,-95.365378,,,
1870,811 W 43rd St Houston 77018,29.8326677,-95.4454245,,,
1873,814 Cohn St Houston 77007,29.7700061,-95.4218366,,,
1886,8205 Montridge Dr Houston 77055,29.8082548,-95.496149,,,
1890,8217 Cabernet Ln Houston 77055,29.8014432,-95.4927005,,,
1896,826 W 31st St Houston 77018,29.8152021,-95.4203253,,,
1899,828 Ennis St Houston 77003,29.751029,-95.343851,,,
1903,832 B W 26th St Houston 77008,29.809843,-95.414797,,,
1909,834 W 22nd St Houston 77008,29.805726,-95.418088,,,
1912,836 Nicholson Street Houston 77007,29.7924186,-95.4055829,,,
1921,841 Fisher #B Houston 77018,29.823067,-95.426853,,,
1927,844 W 17th St Houston 77008,29.800744,-95.410088,,,
1943,871 Fisher St Houston 77018,29.823067,-95.426853,,,
1951,903 Lehman St Houston 77018,29.8388825,-95.436108,,,
1953,904 James St Houston 77009,29.778675,-95.358307,,,
2000,929 Kern St Houston 77009,29.803095,-95.381907,,,
2009,935 Adele St Houston 77009,29.806053,-95.386179,,,
2014,9518 Cedarpost Square Houston 77055,29.791424,-95.524467405503,,,
2015,9519 Cedarpost Square Houston 77055,29.791424,-95.524467405503,,,
2023,963 Thornton Rd Houston 77018,29.832356,-95.423062,,,
2024,9756 Westview Dr Houston 77055,29.7929139,-95.528561,,,
2026,9809 Cedardale Dr Houston 77055,29.78997,-95.541302,,,
